protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
MACD2_HUMAN,5.666666666666667,9.0,1.0,0.061636791587407466,0.9681366466381487,0.0,0.40612414904422556,7.76046702921342,0.0,0.0508519245499882,0.9677239711706985,0.0,0.09677734925914942,0.9018276086524903,0.0
VP37C_HUMAN,6.444444444444445,11.0,1.0,0.027868837444808964,0.5015908087879888,0.0,0.06812087216802083,0.9541634882030295,0.0,0.015996182358283272,0.3084110443884832,0.0,0.10266046269942422,0.8822265772216779,0.0
LIPT2_HUMAN,8.0,8.0,8.0,0.0009894351897807225,0.0029683055693421672,0.0,0.0032861223214189932,0.00985836696425698,0.0,9.706292480988103e-06,2.911887744296431e-05,0.0,0.06129778912922023,0.18389336738766068,0.0
NUDT5_HUMAN,8.40625,14.0,1.0,0.057175736699892385,0.7500176413652418,0.0,0.3444774378089867,3.6495931650401094,0.0,0.04781664242985238,0.7178432472064998,0.0,0.08654436919939089,0.7469635627530365,0.0
AK1BF_HUMAN,5.0,8.0,2.0,0.054159636208304524,0.7998722556431899,0.0,0.319913331120316,4.76912486591197,0.0,0.05288039592037159,0.7930830960099257,0.0,0.10422028159341895,0.7025434969181555,0.0
SPT5H_HUMAN,8.09375,21.0,1.0,0.15649456991061322,0.9717181097103059,0.0,0.8266435413451262,6.234410725718371,0.0,0.14315323973771588,0.969812780083423,0.0,0.14735693856668594,0.8535674206438616,0.0
BIN1_HUMAN,8.115384615384615,18.0,2.0,0.02522856193636994,0.6285625175488802,0.0,0.12961790601044637,3.1315803166080136,0.0,0.015941839456978527,0.601126540653311,0.0,0.08096380529257666,0.7289444010755487,0.0
ST2B1_HUMAN,7.904761904761905,17.0,2.0,0.04820757010310773,0.8894266191132889,0.0,0.23689614422924582,5.045378242540129,0.0,0.03879726957164371,0.8772946277187342,0.0,0.07606231250503542,0.6248864261674111,0.0
RNT2_HUMAN,7.5,12.0,4.0,0.04060677513110542,0.5977503696420411,0.0,0.19862990240938047,2.9301567013194223,0.0,0.037729908442544015,0.5658372715693726,0.0,0.10823899258284714,0.5046235138705418,0.0
HIP1_HUMAN,6.369047619047619,14.0,1.0,0.033770248187451155,0.8641781609693168,0.0,0.17095434600657197,6.190510546843131,0.0,0.022302489168550207,0.8624076496151357,0.0,0.09767025010794121,0.8822265772216779,0.0
PK3CD_HUMAN,11.442260442260443,18.0,1.0,0.12334964473297025,0.898116298600857,0.0,0.7669838790274581,6.661854740545311,0.0,0.10559732690574725,0.8913785122174916,0.0,0.13299502302696287,0.8813159294759124,0.0
S28A1_HUMAN,4.483870967741935,9.0,1.0,0.16427285046074636,1.0,0.0,1.262360838342645,7.848738623446663,0.0,0.16063775605467642,0.9994884910485934,0.0,0.15338315053110116,0.8397907299239402,0.0
P3C2A_HUMAN,8.887640449438202,17.0,2.0,0.03564135798504602,0.8435418013740945,0.0,0.2103026034101702,6.290594005400114,0.0,0.027786375840314223,0.8419781629130109,0.0,0.08918343575438047,0.8040531219824183,0.0
SDCB1_HUMAN,6.581196581196581,14.0,2.0,0.046206352199820874,0.5499073129731868,0.0,0.22949276882363323,3.764102875351524,0.0,0.030096111671400663,0.5371558390491709,0.0,0.10079237649859743,0.5901639344262295,0.0
EST2_HUMAN,7.5,10.0,2.0,0.044237971671572576,0.26614556732556793,0.0,0.18927206252661882,0.943074190311675,0.0,0.026901620581279193,0.1625008144233348,0.0,0.09145271587364336,0.6612466124661247,0.0
G3PT_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2C_HUMAN,11.971830985915492,24.0,1.0,0.06938194498249271,0.948826144347862,0.0,0.349231771783795,5.326853673812971,0.0,0.06273967824218489,0.9258691800748601,0.0,0.08160028239810163,0.9305546419632897,0.0
PLPP1_HUMAN,5.5,13.0,1.0,0.13437482125096287,0.9772414853743812,0.0,0.7476436790040485,6.837137711768183,0.0,0.11842067137601055,0.9761927384144672,0.0,0.1463475271243209,0.8767343963496025,0.0
PLPP3_HUMAN,8.875968992248062,18.0,2.0,0.04381797513683715,0.9366670260095855,0.0,0.24415252610151056,6.837137711768183,0.0,0.03545215788800644,0.9356618223719166,0.0,0.07738679207323004,0.759681194995832,0.0
PHF8_HUMAN,7.885245901639344,16.0,1.0,0.09607830349595478,0.9440304754590594,0.0,0.6356509249739735,6.932447891572509,0.0,0.09220656200233433,0.9304177832976572,0.0,0.11556931384937899,0.9157215760618685,0.0
PTGES_HUMAN,6.375,10.0,1.0,0.06756426309067799,0.9436968677594367,0.0,0.37213661552221294,6.151029116779321,0.0,0.05625359529090256,0.9416855786124643,0.0,0.08537315126427959,0.6897407611693325,0.0
