protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
HSL2_ARATH,11.166666666666666,14.0,7.0,0.02685187078961251,0.16111122473767506,0.0,0.20316212969956463,1.2189727781973878,0.0,0.018916241027608225,0.11349744616564934,0.0,0.0912584271510597,0.21622995884512097,0.04764058651268944
MPPA2_ARATH,3.0,3.0,3.0,0.27889289613989976,0.27889289613989976,0.27889289613989976,0.8902250615538259,0.8902250615538259,0.8902250615538259,0.16438969710634588,0.16438969710634588,0.16438969710634588,0.6815541612682516,0.6815541612682516,0.6815541612682516
F4I9D5_ARATH,8.0,8.0,8.0,0.022405618079414966,0.0672168542382449,0.0,0.11742178001660429,0.35226534004981286,0.0,0.00665237278506518,0.01995711835519554,0.0,0.05439435910350037,0.1631830773105011,0.0
RYR2_MOUSE,11.185344827586206,21.0,1.0,0.038681133729562556,0.9828086643310231,0.0,0.24747751039522006,8.223224734321748,0.0,0.03393194686296845,0.9825449292808873,0.0,0.06348702839541953,0.9291044979282633,0.0
NDK2_ARATH,7.714285714285714,11.0,4.0,0.060995953250853635,0.537207441556761,0.0,0.36614571491206566,3.2304749607115526,0.0,0.05075779069059209,0.5159669496335942,0.0,0.07489774344553216,0.4206695081653178,0.0
Y2778_ARATH,8.0,11.0,4.0,0.027103863957378977,0.27103863957378976,0.0,0.1620574192448777,1.620574192448777,0.0,0.021743123520632138,0.21743123520632138,0.0,0.09435122123035743,0.4280466585035767,0.0
DRE2A_ARATH,8.6875,16.0,1.0,0.12240757064255041,0.8303783425981751,0.0,0.6061148316783836,4.199034121131464,0.0,0.1083824430028647,0.8179143074356179,0.0,0.11960232744801244,0.887711103126123,0.0
HIS2_ARATH,8.0,8.0,8.0,0.0749897938058287,0.2249693814174861,0.0,0.6946263734667012,2.0838791204001037,0.0,0.06565757406144307,0.1969727221843292,0.0,0.08430918406461402,0.25292755219384205,0.0
FOXL2_MOUSE,10.93421052631579,17.0,1.0,0.06783601984180765,1.0,0.0,0.39604783952852574,9.298900548955663,0.0,0.05806175918486289,0.9999084751967783,0.0,0.07733097433185489,0.9192078040018246,0.0
CO4B_MOUSE,9.0,9.0,9.0,0.21717489456956485,0.6515246837086945,0.0,1.4418736804677252,4.325621041403176,0.0,0.2143026840382357,0.6429080521147071,0.0,0.10383769491190353,0.3115130847357106,0.0
SYA_ECOLI,8.344827586206897,20.0,1.0,0.07215507197819283,0.9344599392766966,0.0,0.48089842021346196,7.2116238226432685,0.0,0.0653098629530229,0.9337703472109483,0.0,0.1009750949979704,0.9250419764931636,0.0
RS7_ECOLI,6.714285714285714,17.0,2.0,0.021197559766991586,0.5688383278598281,0.0,0.08911769556747666,2.4478970925024517,0.0,0.018599679064829205,0.5196478941679378,0.0,0.07116012180117112,0.7025226082817706,0.0
ALDOA_MOUSE,4.12,21.0,1.0,0.030813097071279848,0.9737825699341752,0.0,0.13551150647262755,7.047608750349168,0.0,0.02371143715446203,0.972935879982283,0.0,0.1762234798407551,0.8784089564126785,0.0
