tp_id,ntp_id
RYR2_MOUSE,DYH8_MOUSE
RYR2_MOUSE,UBR4_MOUSE
RYR2_MOUSE,BLTP1_MOUSE
RYR2_MOUSE,USH2A_MOUSE
RYR2_MOUSE,SSPO_MOUSE
RYR2_MOUSE,HMCN2_MOUSE
RYR2_MOUSE,HYDIN_MOUSE
RYR2_MOUSE,PCLO_MOUSE
RYR2_MOUSE,BIG_ARATH
RYR2_MOUSE,E9PZP8_MOUSE
RYR2_MOUSE,BIRC6_MOUSE
RYR2_MOUSE,MYCB2_MOUSE
RYR2_MOUSE,RN213_MOUSE
RYR2_MOUSE,KMT2C_MOUSE
RYR2_MOUSE,FAT4_MOUSE
RYR2_MOUSE,RYR3_MOUSE
RYR2_MOUSE,RYR1_MOUSE
RYR2_MOUSE,HERC2_MOUSE
RYR2_MOUSE,ABCAD_MOUSE
RYR2_MOUSE,E9Q5I3_MOUSE
RYR2_MOUSE,Q8K1G6_MOUSE
RYR2_MOUSE,DNHD1_MOUSE
ACC1_ARATH,ACC2_ARATH
ACC1_ARATH,TI236_ARATH
ACC1_ARATH,FILA2_MOUSE
ACC1_ARATH,CHR4_ARATH
ACC1_ARATH,F4J0L7_ARATH
ACC1_ARATH,G3X8Q1_MOUSE
ACC1_ARATH,Q3UHI8_MOUSE
ACC1_ARATH,B9EKC5_MOUSE
ACC1_ARATH,Q6DFZ2_MOUSE
ACC1_ARATH,FREM1_MOUSE
ACC1_ARATH,GOGA4_MOUSE
ACC1_ARATH,Q6PFV8_MOUSE
ACC1_ARATH,NOTC3_MOUSE
ACC1_ARATH,ZEP3_MOUSE
ACC1_ARATH,Q2VEB4_MOUSE
ACC1_ARATH,Q3UHR2_MOUSE
ACC1_ARATH,SVIL_MOUSE
ACC1_ARATH,WNK2_MOUSE
ACC1_ARATH,RTTN_MOUSE
ACC1_ARATH,ELYS_MOUSE
ACC1_ARATH,PRP8A_ARATH
ACC1_ARATH,E9PWL1_MOUSE
ACC1_ARATH,YEEJ_ECOLI
ACC1_ARATH,BRWD1_MOUSE
ACC1_ARATH,ZN318_MOUSE
ACC1_ARATH,MED12_ARATH
ACC1_ARATH,CO6A4_MOUSE
ACC1_ARATH,E9Q9K8_MOUSE
ACC1_ARATH,INT1_MOUSE
ACC1_ARATH,ABCA4_MOUSE
ACC1_ARATH,SWTIE_ARATH
ACC1_ARATH,Q5SUF5_MOUSE
ACC1_ARATH,CNTRL_MOUSE
ACC1_ARATH,Q9WUT2_MOUSE
ACC1_ARATH,DIDO1_MOUSE
ACC1_ARATH,MD13L_MOUSE
ACC1_ARATH,JHD2C_MOUSE
ACC1_ARATH,CAC1H_MOUSE
ACC1_ARATH,NAV3_MOUSE
ACC1_ARATH,SPTB2_MOUSE
ACC1_ARATH,PYR1_MOUSE
ACC1_ARATH,SC16A_MOUSE
ACC1_ARATH,CO6A6_MOUSE
ACC1_ARATH,MED12_MOUSE
ACC1_ARATH,F4I0A4_ARATH
ACC1_ARATH,FA5_MOUSE
ACC1_ARATH,E9Q7P2_MOUSE
ACC1_ARATH,GLUT1_ARATH
ACC1_ARATH,DEK1_ARATH
ACC1_ARATH,GP179_MOUSE
ACC1_ARATH,V9GXT3_MOUSE
ACC1_ARATH,Q5SUG0_MOUSE
ACC1_ARATH,ESP1_ARATH
ACC1_ARATH,Q27YN9_MOUSE
ACC1_ARATH,Q5SUF9_MOUSE
ACC1_ARATH,NACAM_MOUSE
ACC1_ARATH,ARI1A_MOUSE
ACC1_ARATH,PTPRQ_MOUSE
ACC1_ARATH,PK1L3_MOUSE
ACC1_ARATH,Q5SUF6_MOUSE
ACC1_ARATH,ATXR3_ARATH
ACC1_ARATH,SPG17_MOUSE
ACC1_ARATH,SDK1_MOUSE
ACC1_ARATH,Q5SUF8_MOUSE
ACC1_ARATH,CSPG4_MOUSE
ACC1_ARATH,YCF2_ARATH
ACC1_ARATH,DPOE1_ARATH
ACC1_ARATH,Q5SUG2_MOUSE
ACC1_ARATH,Q5SUG1_MOUSE
ACC1_ARATH,Q5SUG4_MOUSE
ACC1_ARATH,CTSRT_MOUSE
ACC1_ARATH,SDK2_MOUSE
ACC1_ARATH,SHAN1_MOUSE
ACC1_ARATH,OTOGL_MOUSE
ACC1_ARATH,CAC1B_MOUSE
ACC1_ARATH,MYO7A_MOUSE
ACC1_ARATH,Q5SUG3_MOUSE
ACC1_ARATH,ROS1_MOUSE
ACC1_ARATH,ABCA1_MOUSE
ACC1_ARATH,ACACA_MOUSE
ACC1_ARATH,UN13C_MOUSE
ACC1_ARATH,CAC1E_MOUSE
ACC1_ARATH,SORL_MOUSE
ACC1_ARATH,ARI1B_MOUSE
ACC1_ARATH,TEB_ARATH
ACC1_ARATH,CAC1D_MOUSE
ACC1_ARATH,CSI1_ARATH
ACC1_ARATH,PTPRZ_MOUSE
ACC1_ARATH,C2CD3_MOUSE
ACC1_ARATH,BRM_ARATH
ACC1_ARATH,DOC10_MOUSE
ACC1_ARATH,ABCA7_MOUSE
ACC1_ARATH,MED13_MOUSE
ACC1_ARATH,TECTA_MOUSE
ACC1_ARATH,MBD9_ARATH
ACC1_ARATH,CAC1A_MOUSE
ACC1_ARATH,GON4L_MOUSE
ACC1_ARATH,DEXHC_ARATH
HOLE_ECOLI,DICC_ECOLI
HOLE_ECOLI,CK2N2_MOUSE
HOLE_ECOLI,CLE1_ARATH
HOLE_ECOLI,DF202_ARATH
HOLE_ECOLI,ESFL6_ARATH
HOLE_ECOLI,MT2B_ARATH
HOLE_ECOLI,YCEK_ECOLI
HOLE_ECOLI,A0A0A6YXE2_MOUSE
HOLE_ECOLI,ESFL8_ARATH
HOLE_ECOLI,PSK3_ARATH
HOLE_ECOLI,PSBH_ARATH
HOLE_ECOLI,NOI4_ARATH
HOLE_ECOLI,Q6E248_ARATH
HOLE_ECOLI,Q941E9_ARATH
HOLE_ECOLI,ACP_ECOLI
HOLE_ECOLI,Q93WI1_ARATH
HOLE_ECOLI,RC23_ARATH
HOLE_ECOLI,PSPD_ECOLI
HOLE_ECOLI,Q9M846_ARATH
HOLE_ECOLI,Q1PEF0_ARATH
HOLE_ECOLI,S4R2L2_MOUSE
HOLE_ECOLI,Q9LRR8_ARATH
HOLE_ECOLI,YCF15_ARATH
HOLE_ECOLI,SEM12_ARATH
HOLE_ECOLI,SMAP2_ARATH
HOLE_ECOLI,FEOA_ECOLI
HOLE_ECOLI,YDCY_ECOLI
HOLE_ECOLI,YCCJ_ECOLI
HOLE_ECOLI,FEOC_ECOLI
HOLE_ECOLI,RCLB_ECOLI
HOLE_ECOLI,CLE2_ARATH
HOLE_ECOLI,YCGZ_ECOLI
HOLE_ECOLI,YDFK_ECOLI
HOLE_ECOLI,YEJL_ECOLI
HOLE_ECOLI,PCEP7_ARATH
HOLE_ECOLI,YDHL_ECOLI
HOLE_ECOLI,DFB12_MOUSE
HOLE_ECOLI,L7MUF2_MOUSE
HOLE_ECOLI,YEDF_ECOLI
HOLE_ECOLI,HSBP1_MOUSE
HOLE_ECOLI,A0A0G2JFI5_MOUSE
HOLE_ECOLI,E9PZ77_MOUSE
HOLE_ECOLI,ENHO_MOUSE
HOLE_ECOLI,A2AW40_MOUSE
HOLE_ECOLI,YNAE_ECOLI
HOLE_ECOLI,UBL5_ARATH
HOLE_ECOLI,A0A3B2WCP3_MOUSE
HOLE_ECOLI,CD52_MOUSE
HOLE_ECOLI,GBG4_MOUSE
HOLE_ECOLI,SPR2E_MOUSE
HOLE_ECOLI,GP15L_MOUSE
HOLE_ECOLI,NEUG_MOUSE
HOLE_ECOLI,S100G_MOUSE
HOLE_ECOLI,Q5SSJ1_MOUSE
HOLE_ECOLI,CSTM5_ARATH
HOLE_ECOLI,R4JNM3_MOUSE
HOLE_ECOLI,Q9M1U1_ARATH
HOLE_ECOLI,CST11_ARATH
HOLE_ECOLI,TM258_MOUSE
HOLE_ECOLI,V9GWS8_MOUSE
HOLE_ECOLI,G3UY91_MOUSE
HOLE_ECOLI,SCOP4_ARATH
HOLE_ECOLI,GLV2_ARATH
HOLE_ECOLI,TAX1_ARATH
HOLE_ECOLI,GBG3_MOUSE
HOLE_ECOLI,RL28_ECOLI
HOLE_ECOLI,CSPD_ECOLI
HOLE_ECOLI,ETC3_ARATH
HOLE_ECOLI,SOP14_ARATH
HOLE_ECOLI,SPR2F_MOUSE
HOLE_ECOLI,SPR2G_MOUSE
HOLE_ECOLI,BRK1_MOUSE
HOLE_ECOLI,COX6C_MOUSE
HOLE_ECOLI,SCOP2_ARATH
HOLE_ECOLI,RS18_ECOLI
HOLE_ECOLI,ACIN1_ARATH
HOLE_ECOLI,A0A0A6YWM6_MOUSE
HOLE_ECOLI,GBG1_MOUSE
