target_id,num_candidates,candidates
RYR2_MOUSE,6,"SSPO_MOUSE,RN213_MOUSE,FAT4_MOUSE,BIRC6_MOUSE,DYH8_MOUSE,MYCB2_MOUSE"
PUTA_ECOLI,6,"ABCB5_MOUSE,STAG1_MOUSE,LIPA2_MOUSE,BTSL2_ARATH,SYIC_MOUSE,ARI4A_MOUSE"
PTGCB_ECOLI,6,"CIPKG_ARATH,IL7RA_MOUSE,ETV4_MOUSE,VATB1_ARATH,NUSA_ECOLI,ETV1_MOUSE"
ADCS_ARATH,6,"OPA1_MOUSE,AGO4_ARATH,RBM10_MOUSE,MSH2_MOUSE,SYA_ECOLI,BC11B_MOUSE"
SYCP2_ARATH,6,"SD11_ARATH,CAN3_MOUSE,F4K7F5_ARATH,CLCN3_MOUSE,MOCOS_ARATH,ACCR3_ARATH"
DRL21_ARATH,6,"RPGF2_MOUSE,RIMS1_MOUSE,ERCC6_MOUSE,UVH3_ARATH,RHG31_MOUSE,BRD4_MOUSE"
FTSK_ECOLI,6,"F4JKR3_ARATH,F4HTG1_ARATH,SALL1_MOUSE,SPP_ARATH,F4IHU8_ARATH,YHDP_ECOLI"
ACC1_ARATH,6,"ACC2_ARATH,CSI1_ARATH,FILA2_MOUSE,Q5SUG0_MOUSE,G3X8Q1_MOUSE,Q2VEB4_MOUSE"
OPGH_ECOLI,6,"SUS4_ARATH,CHX16_ARATH,ORC1B_ARATH,CAN7_MOUSE,NAGLU_ARATH,TMPS6_MOUSE"
HOLE_ECOLI,6,"NOI4_ARATH,CSTM5_ARATH,DICC_ECOLI,CLE1_ARATH,CK2N2_MOUSE,MT2B_ARATH"
MYLK_MOUSE,6,"GP210_ARATH,APC1_MOUSE,CROCC_MOUSE,TAF1_ARATH,CALS1_ARATH,B1AR69_MOUSE"
TUSA_ECOLI,6,"CML28_ARATH,A8R0W6_MOUSE,MT2A_ARATH,CLE25_ARATH,YCIN_ECOLI,B9DG55_ARATH"
CO4B_MOUSE,6,"CO4A_MOUSE,SHAN3_MOUSE,CHD1_MOUSE,E9PWH4_MOUSE,Q6XBG2_MOUSE,COOA1_MOUSE"
NPHP4_MOUSE,6,"MUG1_MOUSE,CLU_ARATH,RFX7_MOUSE,DNMT3_ARATH,ASY2_ARATH,AB35G_ARATH"
AKNA_MOUSE,6,"XDH2_ARATH,ACINU_MOUSE,TDRD9_MOUSE,PDS5B_ARATH,AB30G_ARATH,DISP2_MOUSE"
