tp_id,ntp_id
ABCA3_HUMAN,XRN1_HUMAN
PLCB1_HUMAN,A0A2R8YDE6_HUMAN
SYLC_HUMAN,LATS1_HUMAN
NUP93_HUMAN,GELS_HUMAN
PLPL9_HUMAN,A0A7P0TAW3_HUMAN
HES1_HUMAN,DHI1_HUMAN
LOX12_HUMAN,TRI25_HUMAN
TECT3_HUMAN,EDEM2_HUMAN
ASNS_HUMAN,RPE65_HUMAN
NOTC1_HUMAN,TASO2_HUMAN
NOTC1_HUMAN,ABCA2_HUMAN
MRP2_HUMAN,A6NMQ1_HUMAN
MRP2_HUMAN,SNPC4_HUMAN
CDHR2_HUMAN,F8VXC8_HUMAN
CDHR2_HUMAN,A0A087WYF6_HUMAN
AASS_HUMAN,SH3R1_HUMAN
AASS_HUMAN,SH3R3_HUMAN
NUBP1_HUMAN,CSN5_HUMAN
NUBP1_HUMAN,BT3A2_HUMAN
CC14A_HUMAN,DONS_HUMAN
CC14A_HUMAN,CPEB1_HUMAN
BIN1_HUMAN,K2C6A_HUMAN
BIN1_HUMAN,DPYL5_HUMAN
DUOX2_HUMAN,NLRP1_HUMAN
DUOX2_HUMAN,A0A3B3ISE6_HUMAN
DUOX2_HUMAN,E9PGC5_HUMAN
MRP1_HUMAN,FANCA_HUMAN
MRP1_HUMAN,A0A2R8YGG3_HUMAN
MRP1_HUMAN,MAGI2_HUMAN
MICA1_HUMAN,PARP1_HUMAN
MICA1_HUMAN,H7C5T8_HUMAN
MICA1_HUMAN,A0A8I5KS77_HUMAN
DHX36_HUMAN,RRP44_HUMAN
DHX36_HUMAN,SLIK5_HUMAN
DHX36_HUMAN,DSE_HUMAN
SDCB1_HUMAN,WDR82_HUMAN
SDCB1_HUMAN,RN126_HUMAN
SDCB1_HUMAN,S2536_HUMAN
CDK12_HUMAN,B7ZLR4_HUMAN
CDK12_HUMAN,PLCH2_HUMAN
CDK12_HUMAN,BLM_HUMAN
CDK12_HUMAN,UACA_HUMAN
MRP4_HUMAN,AUTS2_HUMAN
MRP4_HUMAN,TPC10_HUMAN
MRP4_HUMAN,ITPI2_HUMAN
MRP4_HUMAN,E9PRF4_HUMAN
PFKAM_HUMAN,IKKA_HUMAN
PFKAM_HUMAN,ADA10_HUMAN
PFKAM_HUMAN,TRIM3_HUMAN
PFKAM_HUMAN,Q9HAB4_HUMAN
INP5E_HUMAN,E7ET46_HUMAN
INP5E_HUMAN,AIFM1_HUMAN
INP5E_HUMAN,COG8_HUMAN
INP5E_HUMAN,GGA2_HUMAN
RPB1_HUMAN,CAC1S_HUMAN
RPB1_HUMAN,J3KPG5_HUMAN
RPB1_HUMAN,A0A8I5KUE4_HUMAN
RPB1_HUMAN,ANK1_HUMAN
RPB1_HUMAN,RGPA2_HUMAN
A2MG_HUMAN,DISP2_HUMAN
A2MG_HUMAN,EDC4_HUMAN
A2MG_HUMAN,KDM6A_HUMAN
A2MG_HUMAN,CND1_HUMAN
A2MG_HUMAN,H0YNH8_HUMAN
NLRP1_HUMAN,A0A804HLG8_HUMAN
NLRP1_HUMAN,F5H748_HUMAN
NLRP1_HUMAN,E7EVG6_HUMAN
NLRP1_HUMAN,RON_HUMAN
NLRP1_HUMAN,SCAPE_HUMAN
FANCA_HUMAN,PKHG1_HUMAN
