mf_id,num_candidates,candidates
ABCA3_HUMAN,1,XRN1_HUMAN
PLCB1_HUMAN,1,A0A2R8YDE6_HUMAN
SYLC_HUMAN,1,LATS1_HUMAN
NUP93_HUMAN,1,GELS_HUMAN
PLPL9_HUMAN,1,A0A7P0TAW3_HUMAN
HES1_HUMAN,1,DHI1_HUMAN
LOX12_HUMAN,1,TRI25_HUMAN
TECT3_HUMAN,1,EDEM2_HUMAN
ASNS_HUMAN,1,RPE65_HUMAN
NOTC1_HUMAN,2,"TASO2_HUMAN,ABCA2_HUMAN"
MRP2_HUMAN,2,"A6NMQ1_HUMAN,SNPC4_HUMAN"
CDHR2_HUMAN,2,"F8VXC8_HUMAN,A0A087WYF6_HUMAN"
AASS_HUMAN,2,"SH3R1_HUMAN,SH3R3_HUMAN"
NUBP1_HUMAN,2,"CSN5_HUMAN,BT3A2_HUMAN"
CC14A_HUMAN,2,"DONS_HUMAN,CPEB1_HUMAN"
BIN1_HUMAN,2,"K2C6A_HUMAN,DPYL5_HUMAN"
DUOX2_HUMAN,3,"NLRP1_HUMAN,A0A3B3ISE6_HUMAN,E9PGC5_HUMAN"
MRP1_HUMAN,3,"FANCA_HUMAN,A0A2R8YGG3_HUMAN,MAGI2_HUMAN"
MICA1_HUMAN,3,"PARP1_HUMAN,H7C5T8_HUMAN,A0A8I5KS77_HUMAN"
DHX36_HUMAN,3,"RRP44_HUMAN,SLIK5_HUMAN,DSE_HUMAN"
SDCB1_HUMAN,3,"WDR82_HUMAN,RN126_HUMAN,S2536_HUMAN"
CDK12_HUMAN,4,"B7ZLR4_HUMAN,PLCH2_HUMAN,BLM_HUMAN,UACA_HUMAN"
MRP4_HUMAN,4,"AUTS2_HUMAN,TPC10_HUMAN,ITPI2_HUMAN,E9PRF4_HUMAN"
PFKAM_HUMAN,4,"IKKA_HUMAN,ADA10_HUMAN,TRIM3_HUMAN,Q9HAB4_HUMAN"
INP5E_HUMAN,4,"E7ET46_HUMAN,AIFM1_HUMAN,COG8_HUMAN,GGA2_HUMAN"
RPB1_HUMAN,5,"CAC1S_HUMAN,J3KPG5_HUMAN,A0A8I5KUE4_HUMAN,ANK1_HUMAN,RGPA2_HUMAN"
A2MG_HUMAN,5,"DISP2_HUMAN,EDC4_HUMAN,KDM6A_HUMAN,CND1_HUMAN,H0YNH8_HUMAN"
NLRP1_HUMAN,5,"A0A804HLG8_HUMAN,F5H748_HUMAN,E7EVG6_HUMAN,RON_HUMAN,SCAPE_HUMAN"
FANCA_HUMAN,5,"PKHG1_HUMAN,PALLD_HUMAN,Q5JYA6_HUMAN,CEIP2_HUMAN,CNTP1_HUMAN"
HLTF_HUMAN,5,"LONM_HUMAN,XYLT1_HUMAN,A0A6Q8PGE8_HUMAN,J3KQH6_HUMAN,GT2D1_HUMAN"
