tp_id,ntp_id
RYR2_MOUSE,SSPO_MOUSE
RYR2_MOUSE,RN213_MOUSE
RYR2_MOUSE,FAT4_MOUSE
RYR2_MOUSE,BIRC6_MOUSE
RYR2_MOUSE,DYH8_MOUSE
RYR2_MOUSE,MYCB2_MOUSE
PUTA_ECOLI,ABCB5_MOUSE
PUTA_ECOLI,STAG1_MOUSE
PUTA_ECOLI,LIPA2_MOUSE
PUTA_ECOLI,BTSL2_ARATH
PUTA_ECOLI,SYIC_MOUSE
PUTA_ECOLI,ARI4A_MOUSE
PTGCB_ECOLI,CIPKG_ARATH
PTGCB_ECOLI,IL7RA_MOUSE
PTGCB_ECOLI,ETV4_MOUSE
PTGCB_ECOLI,VATB1_ARATH
PTGCB_ECOLI,NUSA_ECOLI
PTGCB_ECOLI,ETV1_MOUSE
ADCS_ARATH,OPA1_MOUSE
ADCS_ARATH,AGO4_ARATH
ADCS_ARATH,RBM10_MOUSE
ADCS_ARATH,MSH2_MOUSE
ADCS_ARATH,SYA_ECOLI
ADCS_ARATH,BC11B_MOUSE
SYCP2_ARATH,SD11_ARATH
SYCP2_ARATH,CAN3_MOUSE
SYCP2_ARATH,F4K7F5_ARATH
SYCP2_ARATH,CLCN3_MOUSE
SYCP2_ARATH,MOCOS_ARATH
SYCP2_ARATH,ACCR3_ARATH
DRL21_ARATH,RPGF2_MOUSE
DRL21_ARATH,RIMS1_MOUSE
DRL21_ARATH,ERCC6_MOUSE
DRL21_ARATH,UVH3_ARATH
DRL21_ARATH,RHG31_MOUSE
DRL21_ARATH,BRD4_MOUSE
FTSK_ECOLI,F4JKR3_ARATH
FTSK_ECOLI,F4HTG1_ARATH
FTSK_ECOLI,SALL1_MOUSE
FTSK_ECOLI,SPP_ARATH
FTSK_ECOLI,F4IHU8_ARATH
FTSK_ECOLI,YHDP_ECOLI
ACC1_ARATH,ACC2_ARATH
ACC1_ARATH,CSI1_ARATH
ACC1_ARATH,FILA2_MOUSE
ACC1_ARATH,Q5SUG0_MOUSE
ACC1_ARATH,G3X8Q1_MOUSE
ACC1_ARATH,Q2VEB4_MOUSE
OPGH_ECOLI,SUS4_ARATH
OPGH_ECOLI,CHX16_ARATH
OPGH_ECOLI,ORC1B_ARATH
OPGH_ECOLI,CAN7_MOUSE
OPGH_ECOLI,NAGLU_ARATH
OPGH_ECOLI,TMPS6_MOUSE
HOLE_ECOLI,NOI4_ARATH
HOLE_ECOLI,CSTM5_ARATH
HOLE_ECOLI,DICC_ECOLI
HOLE_ECOLI,CLE1_ARATH
HOLE_ECOLI,CK2N2_MOUSE
HOLE_ECOLI,MT2B_ARATH
MYLK_MOUSE,GP210_ARATH
MYLK_MOUSE,APC1_MOUSE
MYLK_MOUSE,CROCC_MOUSE
MYLK_MOUSE,TAF1_ARATH
MYLK_MOUSE,CALS1_ARATH
MYLK_MOUSE,B1AR69_MOUSE
TUSA_ECOLI,CML28_ARATH
TUSA_ECOLI,A8R0W6_MOUSE
TUSA_ECOLI,MT2A_ARATH
TUSA_ECOLI,CLE25_ARATH
TUSA_ECOLI,YCIN_ECOLI
TUSA_ECOLI,B9DG55_ARATH
CO4B_MOUSE,CO4A_MOUSE
CO4B_MOUSE,SHAN3_MOUSE
CO4B_MOUSE,CHD1_MOUSE
CO4B_MOUSE,E9PWH4_MOUSE
CO4B_MOUSE,Q6XBG2_MOUSE
CO4B_MOUSE,COOA1_MOUSE
NPHP4_MOUSE,MUG1_MOUSE
NPHP4_MOUSE,CLU_ARATH
NPHP4_MOUSE,RFX7_MOUSE
NPHP4_MOUSE,DNMT3_ARATH
NPHP4_MOUSE,ASY2_ARATH
NPHP4_MOUSE,AB35G_ARATH
AKNA_MOUSE,XDH2_ARATH
AKNA_MOUSE,ACINU_MOUSE
AKNA_MOUSE,TDRD9_MOUSE
AKNA_MOUSE,PDS5B_ARATH
AKNA_MOUSE,AB30G_ARATH
AKNA_MOUSE,DISP2_MOUSE
XDH1_ARATH,SPT62_ARATH
XDH1_ARATH,NPHP3_MOUSE
XDH1_ARATH,ABCBB_MOUSE
XDH1_ARATH,KTN1_MOUSE
XDH1_ARATH,ULK4_MOUSE
XDH1_ARATH,F4I420_ARATH
RS10_ECOLI,PCP11_ARATH
RS10_ECOLI,DRMH1_ARATH
RS10_ECOLI,CENPX_ARATH
RS10_ECOLI,LCFC1_MOUSE
RS10_ECOLI,CH10_ARATH
RS10_ECOLI,INH3_ARATH
THIO_ECOLI,EF4L4_ARATH
THIO_ECOLI,O81005_ARATH
THIO_ECOLI,YOAB_ECOLI
THIO_ECOLI,CYC1_ARATH
THIO_ECOLI,PEP2_ARATH
THIO_ECOLI,YAFU_ECOLI
S10A9_MOUSE,BIC2_ARATH
S10A9_MOUSE,F4IB54_ARATH
S10A9_MOUSE,CYT4_ARATH
S10A9_MOUSE,ATG8I_ARATH
S10A9_MOUSE,RLA1_MOUSE
S10A9_MOUSE,SPT4A_MOUSE
TRXH3_ARATH,Q8RUI1_ARATH
TRXH3_ARATH,PSCA_MOUSE
TRXH3_ARATH,MSYB_ECOLI
TRXH3_ARATH,ATG8F_ARATH
TRXH3_ARATH,TAF13_MOUSE
TRXH3_ARATH,ATG8H_ARATH
RL14_ECOLI,MRAP_MOUSE
RL14_ECOLI,M0QW72_MOUSE
RL14_ECOLI,H2B2E_MOUSE
RL14_ECOLI,A0A2H1ZEF6_ARATH
RL14_ECOLI,ERG28_ARATH
RL14_ECOLI,BL1S2_ARATH
RS12_ECOLI,ATG8E_ARATH
RS12_ECOLI,Q3TMR0_MOUSE
RS12_ECOLI,CARP1_ARATH
RS12_ECOLI,SPH22_ARATH
RS12_ECOLI,YQJF_ECOLI
RS12_ECOLI,Q9LP53_ARATH
TTBK2_MOUSE,F4HYJ6_ARATH
TTBK2_MOUSE,ALA11_ARATH
TTBK2_MOUSE,FH14_ARATH
TTBK2_MOUSE,CARB_ARATH
TTBK2_MOUSE,DSC2_ARATH
TTBK2_MOUSE,NRPB2_ARATH
RS8_ECOLI,GDU5_ARATH
RS8_ECOLI,RT16_ARATH
RS8_ECOLI,RL32P_MOUSE
RS8_ECOLI,ATPE_ARATH
RS8_ECOLI,ACPM3_ARATH
RS8_ECOLI,AGP11_ARATH
BRI1_ARATH,A0A178VA17_ARATH
BRI1_ARATH,F4HQ88_ARATH
BRI1_ARATH,NIFJ_ECOLI
BRI1_ARATH,CSLD3_ARATH
BRI1_ARATH,NOL8_MOUSE
BRI1_ARATH,MYO3_ARATH
SMC3_MOUSE,Q3UGX8_MOUSE
SMC3_MOUSE,CFAH_MOUSE
SMC3_MOUSE,GNPTA_MOUSE
SMC3_MOUSE,TDRD1_MOUSE
SMC3_MOUSE,SC31A_MOUSE
SMC3_MOUSE,EGFR_MOUSE
RL32_MOUSE,Q9D963_MOUSE
RL32_MOUSE,NFYB4_ARATH
RL32_MOUSE,F4JZ39_ARATH
RL32_MOUSE,H2AXA_ARATH
RL32_MOUSE,ACP5_ARATH
RL32_MOUSE,F4KAA4_ARATH
RPK2_ARATH,GUC2E_MOUSE
RPK2_ARATH,BTBD7_MOUSE
RPK2_ARATH,NU107_ARATH
RPK2_ARATH,S4R1W5_MOUSE
RPK2_ARATH,DEGP7_ARATH
RPK2_ARATH,F4K2T3_ARATH
PEPR1_ARATH,CHR17_ARATH
PEPR1_ARATH,SEC5B_ARATH
PEPR1_ARATH,RBP17_MOUSE
PEPR1_ARATH,CESA9_ARATH
PEPR1_ARATH,F4JY25_ARATH
PEPR1_ARATH,ACA8_ARATH
PK3CG_MOUSE,Q920S4_MOUSE
